코드,종목명,시장,시가총액
131180,딜리,KOSDAQ,23685450000
006050,국영지앤엠,KOSDAQ,23624079511
446070,유니드비티플러스,KOSPI,23609953375
290560,파라택시스이더리움,KOSDAQ,23458503770
069140,누리플랜,KOSDAQ,23443783612
118000,메타케어,KOSPI,23361720960
102950,아하,KONEX,23330743534
009310,참엔지니어링,KOSPI,23329484620
054090,삼진엘앤디,KOSDAQ,23212085760
223310,사토시홀딩스,KOSDAQ,23186680110
267790,배럴,KOSDAQ,23183266635
333050,이노테나,KOSDAQ,23161138825
065060,지엔코,KOSDAQ,23152841890
065150,대산F&B,KOSDAQ,23110448000
354200,엔젠바이오,KOSDAQ,23056385000
093380,풍강,KOSDAQ,23018799290
051380,피씨디렉트,KOSDAQ,23010108000
278990,EMB,KONEX,22984614450
304840,피플바이오,KOSDAQ,22983023700
049120,파인디앤씨,KOSDAQ,22952600395
060380,동양에스텍,KOSDAQ,22930800000
353190,휴럼,KOSDAQ,22878862020
239340,이스트에이드,KOSDAQ,22878729632
455180,케이지에이,KOSDAQ,22877679924
403810,아이엘로보틱스,KONEX,22855895800
024890,대원화성,KOSPI,22769530800
039290,인포뱅크,KOSDAQ,22691282580
335870,윙스풋,KOSDAQ,22613138550
024940,PN풍년,KOSDAQ,22600000000
210120,캔버스엔,KOSDAQ,22540854540
303530,이노뎁,KOSDAQ,22494951435
053060,세동,KOSDAQ,22460236968
389680,유디엠텍,KOSDAQ,22459931100
270210,에스알바이오텍,KONEX,22385739840
373110,엑셀세라퓨틱스,KOSDAQ,22361651442
115480,씨유메디칼,KOSDAQ,22321961151
208350,지란지교시큐리티,KOSDAQ,22238809650
012170,아센디오,KOSPI,22234713012
101400,엔시트론,KOSDAQ,22191979320
070590,인티큐브,KOSDAQ,22110076953
191600,블루탑,KONEX,22070924160
216400,인바이츠바이오코아,KONEX,21938691175
091970,나노캠텍,KOSDAQ,21926209800
076340,지에이이노더스,KONEX,21921570000
069640,한세엠케이,KOSPI,21798363223
044780,에이치케이,KOSDAQ,21744299725
138070,신진에스엠,KOSDAQ,21721476164
352940,인바이오,KOSDAQ,21681121350
078860,아이오케이이엔엠,KOSDAQ,21637540125
006200,한국전자홀딩스,KOSPI,21623048370
058450,한주에이알티,KOSDAQ,21582566460
080720,한국유니온제약,KOSDAQ,21562456300
023770,플레이위드,KOSDAQ,21516320475
002360,SH에너지화학,KOSPI,21482150009
306040,에스제이그룹,KOSDAQ,21458175900
026910,광진실업,KOSDAQ,21426079725
418620,E8,KOSDAQ,21378963729
139670,키네마스터,KOSDAQ,21361759530
017250,인터엠,KOSDAQ,21340103538
080470,성창오토텍,KOSDAQ,21316000000
016920,카스,KOSDAQ,21274311014
357430,마스턴프리미어리츠,KOSPI,21262198979
146060,율촌,KOSDAQ,21205770385
115570,스타플렉스,KOSDAQ,21198868740
067730,로지시스,KOSDAQ,21185889180
258790,소프트캠프,KOSDAQ,21142622880
025890,한국주강,KOSPI,21074468856
900340,윙입푸드,KOSDAQ,21050910636
134060,이퓨쳐,KOSDAQ,20984700000
123750,알톤,KOSDAQ,20977635162
032280,삼일,KOSDAQ,20866890330
038530,케이바이오랩스,KOSDAQ,20851724969
197140,디지캡,KOSDAQ,20795020092
301300,바이브컴퍼니,KOSDAQ,20784444960
123840,뉴온,KOSDAQ,20783128950
331520,밸로프,KOSDAQ,20752671120
236810,엔비티,KOSDAQ,20743970572
067010,이씨에스,KOSDAQ,20742592500
037400,우리엔터프라이즈,KOSDAQ,20690219994
331660,한국미라클피플사,KONEX,20597500000
101000,KS인더스트리,KOSDAQ,20574171012
376980,원티드랩,KOSDAQ,20558259370
900100,파이온엑스,KOSDAQ,20523835278
043360,디지아이,KOSDAQ,20520000000
222980,한국맥널티,KOSDAQ,20496495414
188040,바이오포트,KOSDAQ,20238007100
372800,아이티아이즈,KOSDAQ,20161546485
109960,앱토크롬,KOSDAQ,20158059438
021040,대호특수강,KOSDAQ,20055211176
188260,세니젠,KOSDAQ,20041107703
225590,패션플랫폼,KOSDAQ,19896545760
015020,이스타코,KOSPI,19883142400
096690,에이루트,KOSDAQ,19852725270
322780,코퍼스코리아,KOSDAQ,19834374300
362990,드림인사이트,KOSDAQ,19807876746
131760,파인텍,KOSDAQ,19804800480
113810,디젠스,KOSDAQ,19739970855
275630,에스에스알,KOSDAQ,19649241920
154030,아시아종묘,KOSDAQ,19612595742
054940,엑사이엔씨,KOSDAQ,19605566868
034940,조아제약,KOSDAQ,19548270837
035620,바른손이앤에이,KOSDAQ,19428754392
001685,대상우,KOSPI,19416059910
415380,스튜디오삼익,KOSDAQ,19407285600
317860,노드메이슨,KONEX,19406824500
084440,유비온,KOSDAQ,19400274894
192390,윈하이텍,KOSDAQ,19383626353
365900,브이씨,KOSDAQ,19372295000
377220,프롬바이오,KOSDAQ,19364040000
431190,케이쓰리아이,KOSDAQ,19352452570
148780,비큐AI,KOSDAQ,19339120875
060900,에이전트AI,KOSDAQ,19336748685
109670,씨싸이트,KOSDAQ,19319152620
083640,인콘,KOSDAQ,19305734940
020400,대동금속,KOSDAQ,19294454300
214610,롤링스톤,KOSDAQ,19197807380
085810,알티캐스트,KOSDAQ,19178768378
00499K,롯데지주우,KOSPI,19173351400
054220,비츠로시스,KOSDAQ,19162917552
285800,진영,KOSDAQ,19050224300
044380,주연테크,KOSPI,18931791888
169670,코스텍시스템,KONEX,18931446600
027580,상보,KOSDAQ,18878826725
291810,핀텔,KOSDAQ,18849324496
076080,웰크론한텍,KOSDAQ,18820931948
270520,앱튼,KOSDAQ,18793921784
103230,에스앤더블류,KOSDAQ,18792000000
031860,디에이치엑스컴퍼니,KOSDAQ,18714758139
222670,플럼라인생명과학,KONEX,18692639820
238200,비피도,KOSDAQ,18691300000
098660,에스티오,KOSDAQ,18638955216
254160,제이엠멀티,KONEX,18601800000
227610,아우딘퓨쳐스,KOSDAQ,18548032425
042040,케이피엠테크,KOSDAQ,18507312138
